year_month,永不卖出,几乎买入持有,极简趋势,原策略-20/60
2019-01,321,0.0,0.0,0.0
2019-02,321,0.0,0.0,0.0
2019-03,321,0.0,0.0,0.0
2019-04,321,0.0,0.0,0.0
2019-05,321,0.0,0.0,280.0
2019-06,321,0.0,0.0,0.0
2019-07,321,0.0,0.0,0.0
2019-08,321,313.0,0.0,262.0
2019-09,321,313.0,0.0,0.0
2019-10,321,0.0,0.0,0.0
2019-11,321,0.0,0.0,0.0
2019-12,321,0.0,0.0,0.0
2020-01,321,0.0,0.0,0.0
2020-02,321,0.0,0.0,352.0
2020-03,321,376.0,0.0,352.0
2020-04,321,376.0,448.0,352.0
2020-05,321,376.0,448.0,352.0
2020-06,321,376.0,448.0,352.0
2020-07,321,376.0,448.0,352.0
2020-08,321,376.0,448.0,315.0
2020-09,321,376.0,448.0,315.0
2020-10,321,376.0,448.0,315.0
2020-11,321,376.0,448.0,315.0
2020-12,321,376.0,448.0,315.0
2021-01,321,376.0,448.0,315.0
2021-02,321,376.0,448.0,315.0
2021-03,321,376.0,448.0,315.0
2021-04,321,376.0,448.0,315.0
2021-05,321,376.0,448.0,315.0
2021-06,321,376.0,448.0,315.0
2021-07,321,376.0,448.0,315.0
2021-08,321,376.0,448.0,315.0
2021-09,321,376.0,0.0,0.0
2021-10,321,376.0,0.0,0.0
2021-11,321,376.0,0.0,338.0
2021-12,321,376.0,0.0,0.0
2022-01,321,376.0,469.0,304.0
2022-02,321,376.0,469.0,304.0
2022-03,321,376.0,404.0,290.0
2022-04,321,376.0,404.0,290.0
2022-05,321,376.0,404.0,290.0
2022-06,321,376.0,0.0,0.0
2022-07,321,376.0,365.0,271.0
2022-08,321,376.0,0.0,0.0
2022-09,321,376.0,315.0,239.0
2022-10,321,376.0,315.0,239.0
2022-11,321,376.0,315.0,0.0
2022-12,321,376.0,315.0,234.0
2023-01,321,376.0,315.0,234.0
2023-02,321,376.0,315.0,221.0
2023-03,321,376.0,315.0,221.0
2023-04,321,376.0,0.0,0.0
2023-05,321,376.0,0.0,0.0
2023-06,321,376.0,312.0,220.0
2023-07,321,376.0,0.0,0.0
2023-08,321,376.0,269.0,188.0
2023-09,321,376.0,269.0,188.0
2023-10,321,376.0,269.0,0.0
2023-11,321,376.0,235.0,0.0
2023-12,321,376.0,235.0,180.0
2024-01,321,376.0,235.0,180.0
2024-02,321,376.0,235.0,180.0
2024-03,321,376.0,235.0,0.0
2024-04,321,376.0,0.0,0.0
2024-05,321,376.0,0.0,0.0
2024-06,321,376.0,0.0,0.0
2024-07,321,376.0,0.0,0.0
2024-08,321,376.0,201.0,171.0
2024-09,321,376.0,201.0,171.0
2024-10,321,376.0,201.0,171.0
2024-11,321,376.0,201.0,171.0
2024-12,321,376.0,201.0,171.0
2025-01,321,376.0,201.0,171.0
2025-02,321,376.0,201.0,171.0
2025-03,321,376.0,201.0,0.0
2025-04,321,376.0,0.0,0.0
2025-05,321,376.0,0.0,160.0
